video_id,title,channel,published_at,category_id,views,likes,comments
ex55eyU2Y1s,Khesari Lal Yadav New Song | Suit Lalka | Ft Akanksha Puri | Goldi Yadav | New Bhojpuri Song 2026,IVY Bhojpuri Dhamaka,2026-07-15T01:30:22Z,10,600677,60128,9471
8JntxQgaAw4,Korean Kanakaraju Teaser | Varun Tej | Merlapaka Gandhi | Thaman S | Satya | Ritika Nayak,UV Creations,2026-07-13T10:35:02Z,24,1506041,58933,1083
hMs8HKJsd0o,"15 July, 2026 | France vs Spain | FIFA World Cup 26 | Semi Finals | Football | FC26 Gameplay",Foot player 26,2026-07-14T19:00:36Z,20,930677,5277,43
SmAWV0UGtA8,Nas Nas Kyu Dukhe पिया मेरी नस नस के हो दुखे || Anjali Raghav & Karan Chaudhary !! Brajbhasha Song,Jaizeey Music,2026-07-14T02:45:08Z,10,644334,1822,27
b8jZdpIzG4k,ISHQNAMA (Trailer) Jai Randhhawa | Shehnaaz Gill | Arvvindr S Khaira | In Cinemas on 24th July,SRF,2026-07-14T13:30:08Z,24,617197,24145,3104
9LIHFwBpzlc,GTA 5 LIVE #gta5 #gtav #gaming,Hear Is Live,2026-07-15T03:40:26Z,20,1332835,4061,0
qhoczFmqo6I,#4kVideo - महीने महीने मर्डरवा करियों | #Aashish Yadav & #Khushi Kakkar | New #Rangdari Song 2026,Swastik Records,2026-07-15T01:01:24Z,10,254807,19259,1026
Al27vU3gdXA,TOXIC – Final Trailer (2026) | Yash | A Fairytale For Grown-Ups | 4K,"T TRAILER   •  12M  Views • 5 hours ago 




.....",2026-07-15T09:30:22Z,1,58958,662,18
AFJrFYvytA8,I Cheated with AI Auto Builder in House Build Battle..,Carry Depie,2026-07-15T10:15:34Z,20,571601,9866,855
hV2SyMHtpvQ,"#Video - करें भोला जी के दान | #Aashish Yadav, #Khushi Kakkar का पहला #बोलबम गीत | #Bolbam Song 2026",Aashish Yadav Entertainment,2026-07-13T01:00:18Z,10,962493,45408,3073
Lx9vuPJs9Ww,Train - Official Teaser | Vijay Sethupathi | Mysskin | Shruti Haasan | Kalaippuli S Thanu,Saregama Tamil,2026-07-12T13:00:28Z,24,2830643,63700,1761
