video_id,title,channel_id,channel_title,published_at,category_id,duration,view_count,like_count,comment_count
ex55eyU2Y1s,Khesari Lal Yadav New Song | Suit Lalka | Ft Akanksha Puri | Goldi Yadav | New Bhojpuri Song 2026,UCwt4YxSsBMxDwAMo5FoM3Xw,IVY Bhojpuri Dhamaka,2026-07-15 01:30:22+00:00,10,PT3M26S,745995,65103,10176
8JntxQgaAw4,Korean Kanakaraju Teaser | Varun Tej | Merlapaka Gandhi | Thaman S | Satya | Ritika Nayak,UCmse5JbKneJqVyerfhDVYvQ,UV Creations,2026-07-13 10:35:02+00:00,24,PT2M10S,1573061,59476,1100
4a8elY0imOw,🔴 [HINDI] EWC26 GROUP STAGE DAY 1 (GROUP A & B) | INDIA AT EWC26,UCuYSf8EuD8cqeEFITmvHXYQ,Free Fire MAX Esports India Official,2026-07-15 18:01:37+00:00,20,PT8H8M10S,3125052,68321,361
SmAWV0UGtA8,Nas Nas Kyu Dukhe पिया मेरी नस नस के हो दुखे || Anjali Raghav & Karan Chaudhary !! Brajbhasha Song,UCOQpnrnoOhyXztFDmybURJw,Jaizeey Music,2026-07-14 02:45:08+00:00,10,PT4M17S,704907,2011,29
b8jZdpIzG4k,ISHQNAMA (Trailer) Jai Randhhawa | Shehnaaz Gill | Arvvindr S Khaira | In Cinemas on 24th July,UCV9ETprHOXt9aj8XtKEJ1tg,SRF,2026-07-14 13:30:08+00:00,24,PT3M6S,801063,25910,3156
hbar9PwB344,EWC GRP STAGE DAY-1 WATCH PARTY FROM PARIS 🤯 || Let's Gooo Team INDIA 🇮🇳         #nonstopgaming,UCzlb7-RxHTU8WriwZUE2qWw,Nonstop Gaming,2026-07-15 17:38:10+00:00,20,PT7H59M20S,971994,56151,363
qhoczFmqo6I,#4kVideo - महीने महीने मर्डरवा करियों | #Aashish Yadav & #Khushi Kakkar | New #Rangdari Song 2026,UCuBMhd-6_F9tEC5jHgjVsDg,Swastik Records,2026-07-15 01:01:24+00:00,10,PT3M31S,330548,22237,1103
Al27vU3gdXA,TOXIC – Final Trailer (2026) | Yash | A Fairytale For Grown-Ups | 4K,UCuhEQzC-TVTZZOHcuMcZHkQ,"T TRAILER   •  12M  Views • 5 hours ago 




.....",2026-07-15 09:30:22+00:00,1,PT1M11S,113393,926,23
1BzVOWfZl1s,EWC FREE FIRE MAX DAY 1 - WATCHPARTY WITH SNAX #S8UL,UCQfBN7Ut5TiZJAhMo_Rgfyw,Snax Gaming,2026-07-15 17:31:52+00:00,20,PT7H34M16S,1287485,57324,191
hV2SyMHtpvQ,"#Video - करें भोला जी के दान | #Aashish Yadav, #Khushi Kakkar का पहला #बोलबम गीत | #Bolbam Song 2026",UCjaOWpDTaZKe63ApNJ8BLPg,Aashish Yadav Entertainment,2026-07-13 01:00:18+00:00,10,PT2M53S,1042823,46980,3125
bQQQz56S8Vc,Thalapathy Vijay Jana Nayagan + Hera Pheri 3 Twist + Toxic New Trailer | Deeksha Sharma,UCeiAKuJGZrIjYvaq0nMwbJg,Filmi Indian,2026-07-15 06:17:14+00:00,24,PT4M6S,261364,8546,226
AFJrFYvytA8,I Cheated with AI Auto Builder in House Build Battle..,UClqifC6Nd7v-IfTqce4k62A,Carry Depie,2026-07-15 10:15:34+00:00,20,PT17M11S,708324,11261,949
undhkaMMenU,"Sambavakaari Video Song | Gatta Kusthi 2 | Vishnu Vishal, Aishwarya Lekshmi | Sean Roldan",UCn4rEMqKtwBQ6-oEwbd4PcA,Sony Music South,2026-07-12 10:30:35+00:00,10,PT4M5S,2579546,33594,409
Lx9vuPJs9Ww,Train - Official Teaser | Vijay Sethupathi | Mysskin | Shruti Haasan | Kalaippuli S Thanu,UCzee67JnEcuvjErRyWP3GpQ,Saregama Tamil,2026-07-12 13:00:28+00:00,24,PT44S,2898803,64293,1771
TcxF1eJwPZE,"RekRoom Revamp Master Series | Grand Finals Day 2 – POWER PLAY | APEX, SOUL, RNTX, NEBULA, RECKONING",UCAxspga1PzA5YnO7btp7KQQ,RekRoom,2026-07-15 17:30:24+00:00,20,PT5H40M32S,831397,20079,22
